group,n,n_positives,low_confidence,prevalence,selection_rate,auroc,recall_at_top20,precision_at_top20
60-80,9636,1025,False,0.10637193856371939,0.21492320464923204,0.6701368357546077,0.41853658536585364,0.20714630613230323
30-60,6215,648,False,0.10426387771520515,0.16427996781979082,0.6936295952559949,0.3873456790123457,0.24583741429970618
80-100,3842,448,False,0.1166059344091619,0.22904737116085372,0.6403201684695682,0.38169642857142855,0.1943181818181818
0-30,460,30,False,0.06521739130434782,0.12608695652173912,0.7063565891472867,0.26666666666666666,0.13793103448275862
