group,n,n_positives,low_confidence,prevalence,selection_rate,auroc,recall_at_top20,precision_at_top20
Caucasian,15089,1626,False,0.107760620319438,0.2011399032407714,0.670981257090295,0.3997539975399754,0.214168039538715
AfricanAmerican,3847,425,False,0.11047569534702366,0.2160124772550039,0.666803039158387,0.4117647058823529,0.21058965102286403
Missing,410,21,False,0.05121951219512195,0.0975609756097561,0.6626270045293181,0.14285714285714285,0.075
Hispanic,393,31,False,0.07888040712468193,0.1806615776081425,0.7412225984672964,0.4838709677419355,0.2112676056338028
Other,289,29,False,0.10034602076124567,0.12110726643598616,0.7143236074270557,0.3793103448275862,0.3142857142857143
Asian,125,19,True,0.152,0.144,,0.2631578947368421,0.2777777777777778
