group,n,n_positives,recall_before,recall_after,precision_before,precision_after,selection_rate_before,selection_rate_after
0-30,460,30,0.26666666666666666,0.4666666666666667,0.13793103448275862,0.16279069767441862,0.12608695652173912,0.18695652173913044
30-60,6215,648,0.3873456790123457,0.39969135802469136,0.24583741429970618,0.24457034938621341,0.16427996781979082,0.17039420756234916
60-80,9636,1025,0.41853658536585364,0.4,0.20714630613230323,0.20801623541349568,0.21492320464923204,0.20454545454545456
80-100,3842,448,0.38169642857142855,0.39955357142857145,0.1943181818181818,0.18941798941798943,0.22904737116085372,0.24596564289432588
